Employee_ID,Hours_Worked,Tasks_Completed,Salary,Performance_Rating
1062,39.07170511668092,6,55.97676098548832,N/A
1058,38.45393812074393,10,61.90143991711113,1
1011,37.68291153593769,6,51.89733243406544,N/A
1072,47.690182832329846,12,76.89802933217672,1
1097,41.48060138532288,12,-1,5
1044,38.494481522053555,8,58.10907565598005,3
1100,0,,30,
1016,37.188562353795135,12,46.81779316766527,4
1055,45.154997612479754,15,70.32738913002578,3
1096,32.68242525933941,8,55.05243699718183,2
1033,39.93251387631033,8,49.36275447196025,4
1006,38.82931522,10,63.25416349,3
1089,37.351198981164806,16,50.30824347895295,4
1029,36.99680655040598,5,53.52942618497861,2
1031,36.991466938853016,11,51.78614158347007,1
1030,38.54153125103362,10,46.745028032074885,4
1088,41.64375554829842,10,66.79440120721287,N/A
1081,38.90164056081244,9,73.76170839215887,N/A
1086,37.491214782077314,16,41.797667929793576,1
1071,41.80697802754207,10,56.83342005738352,2
1024,32.87625906893272,10,54.87753227153085,2
1065,44.06262911197099,10,59.979982912454496,1
1040,40.984306179345616,7,40.51915658502676,5
1085,35.95753198553406,11,59.919191715065054,3
1032,49.26139092254469,12,59.12931454275624,N/A
1091,40.48538775,5,68.53872374165412,1
1050,31.18479922318633,14,54.81486864,2
1076,44.10951252187612,9,33.76104275690193,2
1009,37.65262807032524,3,55.21003841632759,N/A
1057,35.80391238388681,11,59.01711722098941,4
1053,36.61538999847021,10,46.727690564476774,N/A
1004,47.61514928204013,10,52.82318797,2
1075,26.901274479551276,9,49.00607354555978,5
1020,32.93848149332354,16,66.58110873500068,2
1013,41.20981135783017,9,53.698569456323156,3
1041,43.69233289997705,8,40.92536225623445,5
1054,43.058381444204336,13,60.193465142411725,3
1077,40.435235341190854,3,49.74244978319239,N/A
1093,36.48973453061324,4,67.37816311973462,3
1095,38.03945923433921,13,49.00624977046227,5
1017,34.93584439832788,10,75.92387276,N/A
1039,33.359069755507846,11,57.32049937357636,1
1010,42.712800217929825,15,61.81952971294964,1
1066,46.78120014285412,10,69.51143607795042,5
1037,41.04431797502378,8,49.93056825,3
1025,37.27808637737409,15,46.02745628514168,N/A
1015,31.375410837434835,8,60.95157025436914,5
1035,44.11272456051594,11,57.436872114919126,N/A
1038,30.201649380601122,13,50.289616943816775,1
1018,41.57123666297637,11,44.93982618500298,1
1064,34.01896687959665,11,55.245101742589426,3
1060,44.877725635611796,1,57.24092481810417,1
1043,39.42175859,15,52.86552848288153,2
1087,44.57701058851037,9,73.31458765854353,3
1023,40.337641023439616,13,61.28345509,2
1069,41.808180125238174,9,47.326524371119504,2
1003,43.23844269050346,16,52.97807347566106,5
1007,47.896064077536955,8,63.135096360006386,1
1051,41.620419846973974,12,52.11341361079862,2
1068,45.01766448946012,9,76.53182457511556,4
1059,41.65631715701782,8,50.987795281141636,N/A
1067,39.63994939209833,13,64.59270826085206,5
1074,47.82321827907003,10,46.602781578192236,4
1083,47.38947022370758,9,49.23096344337597,3
1002,39.308678494144075,6,60.470973811700375,5
1028,41.87849009172836,11,64.75119733,3
1014,30.43359877671101,11,55.96995964992718,5
1084,37.40864890863176,10,46.01585328651642,3
1079,40.458803882677515,10,56.50393786476208,2
1052,38.07458859791842,9,58.227185603380896,2
1008,43.837173645764544,11,68.05478807154329,5
1090,42.56633716556678,7,37.868654709091224,4
1036,33.89578175014489,5,57.44966571108723,N/A
1080,30.062155426995538,6,58.41755975777159,5
1094,38.36168926701116,14,39.05572341205633,3
1048,45.285611131094576,11,54.80983792097311,2
1063,34.468325129969855,13,47.26990216144534,2
1056,44.65640059558099,9,53.91239851543143,2
1047,37.696806145201066,16,53.40061470036573,4
1026,40.554612948549334,8,55.75804558193726,N/A
1073,39.82086980445024,17,46.91701714644849,4
1027,34.24503211288849,11,48.22838288487888,3
1045,32.60739004816286,14,69.75356216949552,3
1078,38.50496324767066,10,47.40867338446302,5
1049,41.718091447842305,6,44.97470635362191,N/A
1034,34.71144536,11,46.77779604433569,5
1046,36.40077895802646,6,63.576596232020194,N/A
1012,37.671351232148716,7,58.24166352488442,1
1098,,9,200,2
1001,42.483570765056164,9,57.610552721798896,5
1070,36.774401226974376,6,63.723206367206785,1
1099,999,,,3
1022,38.87111849756732,7,61.24119817052155,2
1061,37.60412881077355,13,55.12592400781795,4
1042,40.85684140594985,11,47.81555778747564,N/A
1092,44.84322495266444,5,53.85460154747382,3
1082,41.78556285755873,11,64.50423838,3
1005,38.82923312638332,18,65.98776852,2
1021,47.32824384460777,8,62.91662693962936,4
1019,35.45987962239394,12,42.85811387212268,1
